tweet_count,user_id,username,text,created_at
40,1745265761416056832,Sumatera Adil & Federal,"Setiap kali hujan turun pikiran selalu gelisa "" apakah akan banjir lagi apa ngak"" 😭😭💔 https://t.co/lfLBWkixGQ",Sun Dec 14 11:03:27 +0000 2025
41,1541718298190290946,Nurul Jannah,"Polanya tetap sama, kebakaran 

Setiap lihat postingan Musibah Banjir di Sumatera bawaannya hanya bisa nangis dan sedih melihat keadaan mereka, walaupun tinggal di tempat yang sama, tapi nyatanya nasib kita sangat berbeda dengan saudara2 yang terdampak banjir galodo

Tapi https://t.co/on80ZIHYRI",Sun Dec 14 03:57:03 +0000 2025
42,1267940786991099905,herwin,"1.068 nyawa hilang.
190 orang lenyap.

Mereka bukan korban perang.
Mereka korban banjir.
Mereka korban keputusan negara yang gagal melindungi rakyatnya.

Sumatera tenggelam, sementara status bencana nasional tak kunjung ditetapkan oleh para pelayan rakyat.
https://t.co/foEySx84UF",Sat Dec 20 06:52:57 +0000 2025
43,23343960,Kompas.com,"Menteri Dalam Negeri (Mendagri) Tito Karnavian mengatakan, bantuan beras sebanyak 30 ton dari non-government organization milik Uni Emirat Arab (UEA) ke korban banjir Medan, Sumatera Utara tidak jadi dikembalikan. Tito menyampaikan, atas kesepakatan masyarakat, 30 ton beras dari https://t.co/vDv7jZx5WB",Fri Dec 19 08:06:45 +0000 2025
44,224431376,5tePh3N,Al Jazeera menayangkan before after banjir Sumatera https://t.co/jug3fLX4wL,Fri Dec 19 05:45:00 +0000 2025
45,1248538148990152704,HUREM,"Bisa jadi Banjir atau bencana Sumatera akibat kebiasaan masyarakat minum kopi dan makan gorengan?

Perasaan ni orang blunder Mulu kalo ngomong yak https://t.co/SStIBW74xZ",Sun Dec 14 03:44:36 +0000 2025
46,1040306964100669440,𝕸𝖔𝖓𝖎𝖈𝖆 ᴼᶠᶠⁱᶜⁱᵃˡ,"Anak Pak Menkeu Purbaya, Kembali Spill Biang Kerok Banjir Bandang di Sumatera !! https://t.co/yJsuxUselZ",Fri Dec 12 08:53:09 +0000 2025
47,1787788662295683072,Nobody,"Demi gengsi pemimpin NPD, korban banjir Aceh dan Sumatera terlantar dan kelaparan. 
.
.
.
.
Jajaran Sindang Kabupaten Majalengka Jabar MBG Sekolah Rakyat #PalingManTAB #GreenSMTraktir100Ribu https://t.co/33dWZkM82q",Fri Dec 19 06:12:55 +0000 2025
48,9688522,Aceh 🇮🇩🇹🇷🇵🇸,"Di hari ke 16, paska bencana Banjir Aceh - Sumatera, Pernyataan Mualem menjadi kenyataan, seorang ibu meninggal. Mualem khawatir akan ada masyarakat yang meninggal karenan sakit atau kelaparan dalam pengungsian, bukan karena banjir. Bantuan ke masyarakat terimbas bencana di https://t.co/TtRQAdDmwV",Sat Dec 13 12:49:27 +0000 2025
49,1427095335084515333,key,"Siap-siap nangis darah deh bagi para pembalak liar dan pertambangan ilegal.
Pemerintahan Presiden Prabowo benar-benar menanggapi serius bencana banjir di Sumatera dan tak ingin hal serupa terulang kembali di seluruh Indonesia. https://t.co/PV28BAwCE6",Thu Dec 11 13:52:17 +0000 2025
50,1267107168295088128,dinda⋆𐙚 ̊.,"wkwkwk si sapri selingkuhan diselingkuhin😭 selingkuh tu emg penyakit ges wkwkwk, jule bener2 akhir taun obral bgt ya😭 TP TTP KAWAL BANJIR SUMATERA, ini selingan aja😭 https://t.co/6y9QLrD5j5",Tue Dec 16 03:04:52 +0000 2025
51,1189039138835554304,🇲🇨 B. Prasetya 🇲🇨,"Dia merasakan berat beban penderitaan rakyat 

Dia menginginkan kesejahteraan dan keselamatan rakyat

Rakyatpun merasa damai dipimpinnya

Saat Presiden @prabowo mengunjungi pengungsi korban bencana banjir Sumatera

Cepat pilihlah Sumatera bahkan lebih Menghebat dari sebelumnya https://t.co/UeEJrb8J2m",Sun Dec 14 00:16:27 +0000 2025
52,138290629,Divisi Humas Polri,"Bencana banjir bandang dan longsor melanda Aceh, Sumatera Utara, dan Sumatera Barat. Ribuan warga kehilangan rumah, harta benda, bahkan orang tercinta.

Di tengah situasi sulit ini, Polri hadir menyalurkan bantuan kemanusiaan dan menerjunkan personel ke lokasi terdampak.

Bantuan https://t.co/wIIv4ViGZH",Sun Dec 21 06:32:57 +0000 2025
53,201309164,WALHI,Saat masyarakat Sumatera masih berjuang untuk bertahan hidup pasca banjir bandang. Saat statistik BNPB masih terus berubah setiap jam nya untuk menghitung berapa banyak korban. Justru presiden Prabowo menyampaikan keinginannya untuk mengekspansi Papua dengan pembukaan lahan sawit,Fri Dec 19 07:15:15 +0000 2025
54,1326942591741390848,Yom N'Friends,"Terlihat lumpur bercampur diduga mirip bijih emas pasca banjir bandang Sumatera.

Aceh adalah daerah di Indonesia yg kaya akan sumber daya alam salahsatunya emas.🔥🔥 https://t.co/JESXeJaE1v",Sat Dec 20 05:11:25 +0000 2025
55,1296312516901916672,Demokrasi Rasa Nepotisme,"Semoga bos perusahaan yg menjarah hutan yg mengakibatkan banjir di Aceh dan Sumatera segera ditangkap juga....
CC.
@DivHumas_Polri
@ListyoSigitP
@prabowo

https://t.co/R9GfV9Xg5N",Thu Dec 11 10:52:41 +0000 2025
56,1296312516901916672,Demokrasi Rasa Nepotisme,"Dukung Muhammadiyah.....
Tetapkan banjir sumatera bencana nasional... https://t.co/EYnIP8OvgU",Fri Dec 19 02:02:41 +0000 2025
57,91255162,Fraksi PKS DPR RI,"Anggota Komisi IV DPR RI F-PKS, Riyono “Caping”, menegaskan bahwa DPR serius mengusut tuntas penyebab banjir bandang dan longsor yang melanda Aceh, Sumatera Utara, dan Sumatera Barat. Untuk itu, Komisi IV resmi membentuk Panja Alih Fungsi Lahan guna menelusuri dugaan kuat https://t.co/E01gc4yQiL",Thu Dec 11 08:17:07 +0000 2025
58,1901591046,Dosen Kesayanganmu,"banjir sudah menenggelamkan ribuan rumah,
tapi RI 1 masih ragu kasih status bencana nasional,
itu namanya bukan hati-hati, tapi hitung-hitungan politis. 

rupanya air keruh bukan cuma datang dari sungai, 
tapi ada pula dari cara berpikir pengambil kebijakan.

warga sumatera",Fri Nov 28 07:29:03 +0000 2025
59,2412572689,@is_pelssy,Pakar : Tanpa Bantuan Asing Pemulihan Banjir Sumatera Diprediksi 30 Tahun https://t.co/9av6X0C9jm,Tue Dec 16 09:48:05 +0000 2025
60,3311530278,Ida Fitri,"Sebentar lagi medsos akan sunyi dari  perbincangan banjir Sumatra. Pemerintah pusat tepuk dada berhadil menanggulangi. Sekolah yg rysak tetap rusak, jembatan putus tetap putus, jalan yang amblas tetap amblas, rumah yang amblas tercerai berai di dasar sungai.",Sun Dec 14 03:39:51 +0000 2025
61,138290629,Divisi Humas Polri,"Bencana banjir bandang dan longsor melanda Aceh, Sumatera Utara, dan Sumatera Barat. Ribuan warga kehilangan rumah, harta benda, bahkan orang tercinta.

Di tengah situasi sulit ini, Polri hadir menyalurkan bantuan kemanusiaan dan menerjunkan personel ke lokasi terdampak.

Bantuan https://t.co/vEihSFwAWn",Sat Dec 20 15:02:57 +0000 2025
62,262146748,cholil nafis,"Para ta’mir masjid seluruh Indonesia, mari donasikan hasil kotak amal jum’atan besok untuk para korban musibah banjir di Aceh, Sumatera Barat dan Sumatera Utara. Mudah2-an dapat meringankan kesulitan mereka. 
.
Bismillah",Thu Dec 11 09:45:30 +0000 2025
